id,filename,house,year,mon,day,tid,tot
12493028,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,ZA01,3
12493116,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AP:02:a,1
12493127,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AM:02,1
12493370,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BC:10,1
12493145,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AP:07:b,1
12493479,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AG:01:s,1
12493162,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AL:05:d:01,1
12493174,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AM:09,1
12493351,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AO:23:b,1
12493466,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BC:05:a,1
12493096,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AK:01:g,1
12493384,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AY:05:a,1
12493012,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,NULL,8
12493051,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,ZC,18
12493449,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AZ:06:e:01:a,1
12492999,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,04:10,2
12493064,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,ZF,6
12493399,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AO:15,1
12493430,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BI,1
12493082,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,AP:01:d,2
12493285,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BB:06:h:08,1
12493189,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BG:13:c,1
12493306,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BB:06,1
12493414,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BJ:01:y:01:a,1
12493269,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BB:06:g,1
12493240,S6CV0366P0_20010402_HOC_10.xml,Commons,2001,apr,2,BJ:01:j,1
