"tid","s1","s2","s3","s4","s5","thematicheading"
"1","AA",,,,,"The world"
"2","AA","01",,,,"The earth"
"3","AA","02",,,,"Geographical areas/references"
"4","AA","02","a",,,"Cardinal points"
"5","AA","03",,,,"Land, ground, land mass"
"6","AA","03","a",,,"Continent"
"7","AA","03","b",,,"Island"
"8","AA","03","c",,,"Reef, sand-bank"
"9","AA","03","d",,,"Shore, coast"
"10","AA","03","e",,,"High/rising ground"
"11","AA","03","e","01",,"Volcano"
"12","AA","03","e","02",,"Hill"
"13","AA","03","e","03",,"Mountain"
"14","AA","03","f",,,"Low ground, hollow, depression"
"15","AA","03","f","01",,"Hole, pit"
"16","AA","03","f","02",,"Valley"
"17","AA","03","g",,,"Level land"
"18","AA","03","h",,,"Waterlogged/wild land"
"19","AA","03","i",,,"Fertile land, parkland"
"20","AA","04",,,,"Water"
"21","AA","04","a",,,"Body of water"
"22","AA","04","b",,,"Rivers, streams"
"23","AA","04","b","01",,"Waterfall"
"24","AA","04","b","02",,"Spring"
"25","AA","04","b","03",,"Fountain"
"26","AA","04","c",,,"Sea/ocean"
"27","AA","04","d",,,"Lake"
"28","AA","04","e",,,"Pool, pond"
"29","AA","04","f",,,"Ice"
"30","AA","04","f","01",,"Glacier"
"31","AA","04","f","02",,"Iceberg"
"32","AA","04","g",,,"Flowing water"
"33","AA","04","g","01",,"Current"
"34","AA","04","g","02",,"Tide"
"35","AA","04","g","03",,"State of Sea"
"36","AA","04","g","04",,"Wave"
"37","AA","04","g","05",,"Whirlpool"
"38","AA","04","g","06",,"Flood/flooding"
"39","AA","05",,,,"Named regions of Earth"
"40","AA","05","a",,,"Europe"
"41","AA","05","a","01",,"British Isles"
"42","AA","05","a","02",,"Ireland"
"43","AA","05","a","03",,"Scandinavia and Iceland"
"44","AA","05","a","04",,"Germanic region"
"45","AA","05","a","05",,"Low countries"
"46","AA","05","a","06",,"Countries of Eastern Europe"
"47","AA","05","a","07",,"Greece"
"48","AA","05","a","08",,"France/Frankish land"
"49","AA","05","a","09",,"Italy"
"50","AA","05","a","10",,"Iberian peninsula and islands"
"51","AA","05","b",,,"Asia"
"52","AA","05","b","01",,"Russia/Baltic countries"
"53","AA","05","b","02",,"Near/Middle East/Asia Minor"
"54","AA","05","b","03",,"East Indies"
"55","AA","05","b","04",,"Far East"
"56","AA","05","b","05",,"Malaysia/Indonesia"
"57","AA","05","c",,,"Australasia"
"58","AA","05","c","01",,"Australasia - Pacific Islands"
"59","AA","05","d",,,"Africa"
"60","AA","05","e",,,"The Americas"
"61","AA","05","e","01",,"North America"
"62","AA","05","e","02",,"Central and South America"
"63","AA","05","e","03",,"West Indies"
"64","AA","05","f",,,"Named cities/towns"
"65","AA","06",,,,"Structure of the Earth"
"66","AA","06","a",,,"Structural features of the Earth"
"67","AA","06","a","01",,"Sediment"
"68","AA","06","a","02",,"Volcanic Formations"
"69","AA","06","a","03",,"Rock formations"
"70","AA","06","b",,,"Formation of structural features of Earth"
"71","AA","06","b","01",,"Earthquakes, tectonic activity"
"72","AA","06","b","02",,"Erosion/weathering"
"73","AA","06","b","03",,"Glaciation"
"74","AA","07",,,,"Geological ages/periods"
"75","AA","08",,,,"Constituent materials of Earth"
"76","AA","08","a",,,"Rock, stone"
"77","AA","08","a","01",,"Sedimentary rock"
"78","AA","08","a","02",,"Metamorphic rock"
"79","AA","08","a","03",,"Igneous rock"
"80","AA","08","a","04",,"Ejected volcanic material"
"81","AA","08","a","05",,"Stone"
"82","AA","08","b",,,"Sediment, soil, mud"
"83","AA","08","b","01",,"Soil"
"84","AA","08","b","02",,"Mud"
"85","AA","08","c",,,"Minerals, ores"
"86","AA","08","c","01",,"Mineral sources"
"87","AA","08","c","02",,"Mineral deposits"
"88","AA","08","c","03",,"Ore"
"89","AA","08","c","04",,"Mineral structure/appearance"
"90","AA","08","c","05",,"Types of mineral"
"91","AA","08","c","06",,"Hydrocarbon minerals"
"92","AA","08","c","07",,"Sulphides and related minerals"
"93","AA","08","c","08",,"Halides"
"94","AA","08","c","09",,"Oxides and hydroxides"
"95","AA","08","c","10",,"Borates"
"96","AA","08","c","11",,"Silicates"
"97","AA","08","c","12",,"Carbonates"
"98","AA","08","c","13",,"Sulphates"
"99","AA","08","c","14",,"Phosphates"
"100","AA","09",,,,"Earth science"
"101","AA","09","a",,,"Geography"
"102","AA","09","b",,,"Cartography"
"103","AA","09","c",,,"Geology"
"104","AA","09","d",,,"Hydrography"
"105","AA","09","e",,,"Theory of formation of Earth"
"106","AA","09","f",,,"Environmentalism"
"107","AA","10",,,,"The Universe"
"108","AA","10","a",,,"Space"
"109","AA","10","b",,,"Celestial sphere, zodiacal signs"
"110","AA","10","c",,,"Sky, heavens"
"111","AA","10","d",,,"Heavenly body"
"112","AA","10","d","01",,"Heavenly body as influence on mankind"
"113","AA","10","e",,,"Planet"
"114","AA","10","e","01",,"Earth and planets of Earth's solar system"
"115","AA","10","e","02",,"Earth's moon"
"116","AA","10","e","03",,"Minor planet/asteroid"
"117","AA","10","f",,,"Stars"
"118","AA","10","f","01",,"Earth's sun"
"119","AA","10","f","02",,"Stars in relation to each other (constellation, galaxy)"
"120","AA","10","g",,,"Comet, meteor"
"121","AA","10","h",,,"Nebula, diffused matter"
"122","AA","10","i",,,"Luminous appearance of Universe"
"123","AA","10","j",,,"Cosmology, scientific study of Universe"
"124","AA","10","k",,,"Astrology"
"125","AA","10","k","01",,"Horoscope"
"126","AA","11",,,,"Atmosphere, weather"
"127","AA","11","a",,,"Fine weather"
"128","AA","11","b",,,"Bad weather"
"129","AA","11","b","01",,"Thunder and lightning"
"130","AA","11","c",,,"Cold weather"
"131","AA","11","d",,,"Hot weather"
"132","AA","11","e",,,"Dry weather/climate"
"133","AA","11","f",,,"Wet weather"
"134","AA","11","g",,,"Wind"
"135","AA","11","h",,,"Cloud"
"136","AA","11","i",,,"Precipitation"
"137","AA","11","i","01",,"Rain"
"138","AA","11","i","02",,"Snow"
"139","AA","11","i","03",,"Rainbow"
"140","AA","11","j",,,"Study/science of weather"
"141","AB",,,,,"Life"
"142","AB","01",,,,"Life, process of living"
"143","AB","02",,,,"Birth"
"144","AB","03",,,,"Age"
"145","AB","04",,,,"Sex"
"146","AB","04","a",,,"Male sex"
"147","AB","04","b",,,"Female sex"
"148","AB","05",,,,"Absence of life/consciousness"
"149","AB","06",,,,"Organism"
"150","AB","06","a",,,"Micro-organism"
"151","AB","06","a","01",,"Bacterium"
"152","AB","06","a","02",,"Virus"
"153","AB","06","b",,,"Fossil"
"154","AB","07",,,,"Biological Substance"
"155","AB","07","a",,,"Pigment"
"156","AB","07","b",,,"Cell"
"157","AB","07","c",,,"Process stimulators/inhibitors"
"158","AB","08",,,,"Biological processes"
"159","AB","08","a",,,"Movement"
"160","AB","08","b",,,"Stimulation"
"161","AB","08","c",,,"Action of nervous system"
"162","AB","08","d",,,"Development/growth/degeneration"
"163","AB","08","e",,,"Procreation/reproduction"
"164","AB","08","e","01",,"Infertility"
"165","AB","08","e","02",,"Types of reproduction"
"166","AB","08","e","03",,"Fecundation/impregnation"
"167","AB","08","e","04",,"Reproductive cycle"
"168","AB","08","e","05",,"Conception and gestation"
"169","AB","08","e","06",,"Reproductive substances/cells"
"170","AB","08","e","07",,"Abortion"
"171","AB","08","e","08",,"Contraception"
"172","AB","08","f",,,"Genetic activity"
"173","AB","08","f","01",,"Genetic components"
"174","AB","08","f","02",,"Heredity/hereditary descent"
"175","AB","08","g",,,"Evolution"
"176","AB","09",,,,"Ecosystem"
"177","AB","10",,,,"Physical Aspects of Organisms"
"178","AB","10","a",,,"Physical arrangement/condition"
"179","AB","10","b",,,"Shape"
"180","AB","11",,,,"Taxonomy"
"181","AB","12",,,,"Laboratory/scientific biology"
"182","AB","13",,,,"Study of biology"
"183","AB","14",,,,"Biological theories"
"184","AB","15",,,,"Person holding theory"
"185","AB","16",,,,"Collection/conservation of natural specimens"
"186","AB","17",,,,"The body"
"187","AB","17","a",,,"Dead body"
"188","AB","17","b",,,"Bodily shape/physique"
"189","AB","17","b","01",,"Broad shape/physique"
"190","AB","17","b","02",,"Slim shape/physique"
"191","AB","17","c",,,"Bodily height"
"192","AB","17","d",,,"Bodily constitution"
"193","AB","17","d","01",,"Bodily strength"
"194","AB","17","d","02",,"Bodily weakness"
"195","AB","17","e",,,"Part of body"
"196","AB","17","e","01",,"Head"
"197","AB","17","e","01","a","Face, facial sexpression"
"198","AB","17","e","01","b","Eye/eyes"
"199","AB","17","e","01","c","Ear"
"200","AB","17","e","01","d","Nose"
"201","AB","17","e","01","e","Mouth"
"202","AB","17","e","02",,"Neck"
"203","AB","17","e","03",,"Trunk"
"204","AB","17","e","03","a","Back, inc. shoulders"
"205","AB","17","e","03","b","Buttock(s)"
"206","AB","17","e","03","c","Front of body"
"207","AB","17","e","03","d","Breast/breasts (of woman)"
"208","AB","17","e","03","e","Belly/abdomen"
"209","AB","17","e","04",,"Limb"
"210","AB","17","e","04","a","Arm"
"211","AB","17","e","04","b","Leg"
"212","AB","17","e","04","c","Hand"
"213","AB","17","e","04","d","Foot"
"214","AB","17","e","04","e","Digit - finger, toe"
"215","AB","17","e","05",,"Skin"
"216","AB","17","e","05","a","Textures/states of skin"
"217","AB","17","e","05","b","Complexion"
"218","AB","17","e","06",,"Hair"
"219","AB","17","e","06","a","Types and colours of hair"
"220","AB","17","e","06","c","Hair of head"
"221","AB","17","e","06","d","Hair on lower part of face"
"222","AB","17","f",,,"Bodily substance, tissue"
"223","AB","17","f","01",,"Flesh"
"224","AB","17","f","02",,"Fat"
"225","AB","17","g",,,"Bone/bones"
"226","AB","17","g","01",,"Skull"
"227","AB","17","g","02",,"Spine"
"228","AB","17","g","03",,"Bones of arm or leg (incl. hand and foot)"
"229","AB","17","h",,,"Joint"
"230","AB","17","i",,,"Muscle"
"231","AB","17","j",,,"Sense organ"
"232","AB","17","j","01",,"Sight organ"
"233","AB","17","j","02",,"Hearing organ"
"234","AB","17","j","03",,"Olfactory organ"
"235","AB","17","j","04",,"Taste organ"
"236","AB","17","k",,,"Speech organs"
"237","AB","17","l",,,"Internal organs"
"238","AB","17","m",,,"Digestive/excretive organs"
"239","AB","17","m","01",,"Digestive organs"
"240","AB","17","m","01","a","Mouth, teeth"
"241","AB","17","m","01","b","Throat/gullet"
"242","AB","17","m","01","c","Stomach/belly"
"243","AB","17","m","01","d","Intestines"
"244","AB","17","n",,,"Secretory organs"
"245","AB","17","n","01",,"Specific glands"
"246","AB","17","n","02",,"Bodily secretions"
"247","AB","17","o",,,"Organs of excretion"
"248","AB","17","o","01",,"Lachrymal organs"
"249","AB","17","o","02",,"Defecation/urination"
"250","AB","17","o","03",,"Excretions"
"251","AB","17","p",,,"Sex organs"
"252","AB","17","p","01",,"Male sex organs"
"253","AB","17","p","02",,"Female sex organs"
"254","AB","17","q",,,"Respiratory organs"
"255","AB","17","q","01",,"Breathing"
"256","AB","17","r",,,"Vascular system"
"257","AB","17","r","01",,"Blood vessel"
"258","AB","17","r","02",,"Heart"
"259","AB","17","r","03",,"Circulation"
"260","AB","17","r","04",,"Blood"
"261","AB","17","r","04","a","Blood corpuscle/plate"
"262","AB","17","s",,,"Nervous system"
"263","AB","17","s","01",,"Substance of nervous system, nerves"
"264","AB","17","s","01","a","Brain"
"265","AB","17","t",,,"Study of body"
"266","AB","18",,,,"Death"
"267","AB","18","a",,,"Dead person/the dead"
"268","AB","18","b",,,"Manner of death"
"269","AB","18","c",,,"Cause of death"
"270","AB","18","d",,,"Killing"
"271","AB","18","d","01",,"Man-killing/homicide"
"272","AB","18","d","02",,"Slaughter"
"273","AB","18","d","03",,"Killing by specific method"
"274","AB","18","d","04",,"Killing of animals"
"275","AB","18","d","05",,"Suicide"
"276","AB","18","e",,,"Disposal of corpse"
"277","AB","18","e","01",,"Means/place of burial"
